fips,%65+,%85+,county
01001,16,1.7,"Autauga County, Alabama"
01003,21,2,"Baldwin County, Alabama"
01005,19.7,1.9,"Barbour County, Alabama"
01007,16.7,1.7,"Bibb County, Alabama"
01009,18.7,1.9,"Blount County, Alabama"
01011,16.9,1.9,"Bullock County, Alabama"
01013,20.8,2.9,"Butler County, Alabama"
01015,18.1,1.9,"Calhoun County, Alabama"
01017,20.2,2.3,"Chambers County, Alabama"
01019,23.5,2.2,"Cherokee County, Alabama"
01021,17.1,1.8,"Chilton County, Alabama"
01023,23.6,2.8,"Choctaw County, Alabama"
01025,20.5,2.4,"Clarke County, Alabama"
01027,21,2.3,"Clay County, Alabama"
01029,20.2,2.3,"Cleburne County, Alabama"
01031,17.3,1.9,"Coffee County, Alabama"
01033,20,2.3,"Colbert County, Alabama"
01035,23.5,2.6,"Conecuh County, Alabama"
01037,24.1,2.6,"Coosa County, Alabama"
01039,21.4,2.6,"Covington County, Alabama"
01041,19.4,2.2,"Crenshaw County, Alabama"
01043,18.8,1.7,"Cullman County, Alabama"
01045,17.3,1.9,"Dale County, Alabama"
01047,18.9,1.9,"Dallas County, Alabama"
01049,17.6,1.7,"DeKalb County, Alabama"
01051,15.6,1.4,"Elmore County, Alabama"
01053,18.3,1.9,"Escambia County, Alabama"
01055,19.4,1.9,"Etowah County, Alabama"
01057,21.7,2,"Fayette County, Alabama"
01059,17.1,1.9,"Franklin County, Alabama"
01061,20.6,2.3,"Geneva County, Alabama"
01063,23.3,3,"Greene County, Alabama"
01065,19.7,2.5,"Hale County, Alabama"
01067,23.4,2.5,"Henry County, Alabama"
01069,18.1,2,"Houston County, Alabama"
01071,20.5,1.9,"Jackson County, Alabama"
01073,16.3,2,"Jefferson County, Alabama"
01075,22.2,2.6,"Lamar County, Alabama"
01077,20.5,2.3,"Lauderdale County, Alabama"
01079,19.1,1.8,"Lawrence County, Alabama"
01081,12.4,1.1,"Lee County, Alabama"
01083,15.2,1.4,"Limestone County, Alabama"
01085,19.8,2.3,"Lowndes County, Alabama"
01087,20.9,2.3,"Macon County, Alabama"
01089,15.3,1.7,"Madison County, Alabama"
01091,19.9,2.6,"Marengo County, Alabama"
01093,21.5,2.4,"Marion County, Alabama"
01095,17.3,1.8,"Marshall County, Alabama"
01097,16.6,1.8,"Mobile County, Alabama"
01099,21.1,2.7,"Monroe County, Alabama"
01101,15.6,1.8,"Montgomery County, Alabama"
01103,17.8,1.9,"Morgan County, Alabama"
01105,20.1,2.7,"Perry County, Alabama"
01107,19.5,2.2,"Pickens County, Alabama"
01109,15.2,1.7,"Pike County, Alabama"
01111,20.9,2.2,"Randolph County, Alabama"
01113,14.8,1.5,"Russell County, Alabama"
01115,16.9,1.5,"St. Clair County, Alabama"
01117,16,1.7,"Shelby County, Alabama"
01119,18.7,2.9,"Sumter County, Alabama"
01121,18.5,1.8,"Talladega County, Alabama"
01123,22.3,2,"Tallapoosa County, Alabama"
01125,13.8,1.5,"Tuscaloosa County, Alabama"
01127,19.5,1.7,"Walker County, Alabama"
01129,19.7,2.1,"Washington County, Alabama"
01131,20.3,2.4,"Wilcox County, Alabama"
01133,21.9,2.5,"Winston County, Alabama"
02013,10.5,1,"Aleutians East Borough, Alaska"
02016,7.4,0.3,"Aleutians West Census Area, Alaska"
02020,11.7,1.1,"Anchorage Municipality, Alaska"
02050,7.9,0.4,"Bethel Census Area, Alaska"
02060,16.3,0.8,"Bristol Bay Borough, Alaska"
02068,11.3,0.2,"Denali Borough, Alaska"
02070,10,0.7,"Dillingham Census Area, Alaska"
02090,11.2,0.7,"Fairbanks North Star Borough, Alaska"
