,Share_65+ ,Share_85+ ,State 
0,17.3,1.9,AL
1,12.5,1.0,AK
2,18.0,2.0,AZ
3,17.4,2.0,AR
4,14.8,1.9,CA
5,14.6,1.6,CO
6,17.7,2.6,CT
7,19.4,2.1,DE
8,12.4,1.7,DC
9,20.9,2.7,FL
10,14.3,1.4,GA
11,19.0,2.9,HI
12,16.3,1.7,ID
13,16.1,2.1,IL
14,16.1,1.9,IN
15,17.5,2.5,IA
16,16.3,2.3,KS
17,16.8,1.8,KY
18,15.9,1.8,LA
19,21.2,2.5,ME
20,15.9,2.0,MD
21,17.0,2.3,MA
22,17.7,2.1,MI
23,16.3,2.2,MN
24,16.4,1.8,MS
25,17.3,2.2,MO
26,19.3,2.1,MT
27,16.2,2.2,NE
28,16.1,1.5,NV
29,18.7,2.2,NH
30,16.6,2.3,NJ
31,18.0,2.0,NM
32,16.9,2.4,NY
33,16.7,1.8,NC
34,15.7,2.5,ND
35,17.5,2.2,OH
36,16.1,1.9,OK
37,18.2,2.0,OR
38,18.7,2.6,PA
39,17.7,2.6,RI
40,18.2,1.8,SC
41,17.2,2.4,SD
42,16.7,1.8,TN
43,12.9,1.4,TX
44,11.4,1.2,UT
45,20.0,2.3,VT
46,15.9,1.8,VA
47,15.9,1.8,WA
48,20.5,2.2,WV
49,17.5,2.2,WI
50,17.1,1.9,WY
